ticker,date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
^DJI,2008-08-19,11478.09,11501.45,11260.53,11348.55,4159760000
^DJI,2008-08-20,11345.94,11511.06,11240.18,11417.43,4555030000
^DJI,2008-08-21,11415.23,11501.29,11263.63,11430.21,4032590000
^DJI,2008-08-22,11426.79,11684,11426.79,11628.06,3741070000
^DJI,2008-08-25,11626.19,11626.19,11336.82,11386.25,3420600000
^DJI,2008-08-26,11383.56,11483.62,11284.47,11412.87,3587570000
^DJI,2008-08-27,11412.46,11575.14,11349.69,11502.51,3499610000
^DJI,2008-08-28,11499.87,11756.46,11493.72,11715.18,3854280000
^DJI,2008-08-29,11713.23,11730.49,11508.78,11543.55,3288120000
^DJI,2008-09-02,11545.63,11831.29,11444.79,11516.92,4783560000
^DJI,2008-09-03,11506.01,11629.69,11328.84,11532.88,5056980000
^DJI,2008-09-04,11532.48,11532.48,11130.26,11188.23,5212500000
^DJI,2008-09-05,11185.63,11301.73,10998.77,11220.96,5017080000
^DJI,2008-09-08,11224.87,11656.64,11224.87,11510.74,7351340000
^DJI,2008-09-09,11514.73,11623.5,11209.81,11230.73,7380630400
^DJI,2008-09-10,11233.91,11453.5,11135.64,11268.92,6543440000
^DJI,2008-09-11,11264.44,11461.15,11018.72,11433.71,6869249600
^DJI,2008-09-12,11429.32,11532.72,11191.08,11421.99,6273260000
^DJI,2008-09-15,11416.37,11416.37,10849.85,10917.51,8279510400
^DJI,2008-09-16,10905.62,11193.12,10604.7,11059.02,9459830400
^DJI,2008-09-17,11056.58,11068.87,10521.81,10609.66,9431870400
^DJI,2008-09-18,10609.01,11149.07,10403.75,11019.69,10082689600
^DJI,2008-09-19,11027.51,11415.48,11027.51,11388.44,9387169600
^DJI,2008-09-22,11394.42,11450.81,10956.43,11015.69,5368130000
^DJI,2008-09-23,11015.69,11214.65,10763.77,10854.17,5185730000
^DJI,2008-09-24,10850.02,11041.02,10696.38,10825.17,4820360000
^DJI,2008-09-25,10827.17,11206.05,10799.77,11022.06,5877640000
^DJI,2008-09-26,11019.04,11218.48,10781.37,11143.13,5383610000
^DJI,2008-09-29,11139.62,11139.62,10266.76,10365.45,7305060000
^DJI,2008-09-30,10371.58,10922.03,10371.58,10850.66,6065000000
^DJI,2008-10-01,10847.4,11022.06,10495.99,10831.07,5782130000
^DJI,2008-10-02,10825.54,10843.1,10368.08,10482.85,6285640000
^DJI,2008-10-03,10483.96,10844.69,10261.75,10325.38,6716120000
^DJI,2008-10-06,10322.52,10322.52,9503.1,9955.5,7956020000
^DJI,2008-10-07,9955.42,10205.04,9391.67,9447.11,7069209600
^DJI,2008-10-08,9437.23,9778.04,9042.97,9258.1,8716329600
^DJI,2008-10-09,9261.69,9522.77,8523.27,8579.19,8285670400
^DJI,2008-10-10,8568.67,8989.13,7773.71,8451.19,11456230400
^DJI,2008-10-13,8462.42,9501.91,8462.42,9387.61,7263369600
^DJI,2008-10-14,9388.97,9924.28,9050.06,9310.99,8161990400
